sample,individual,species,sample_type,sex,state,raw_reads,reads_lost_fastp_percent,reads_post_fastp,metagenomic reads,host_reads,read_length,metagenomic_bases,host_bases,metagenomic_bases_percent
EHI01650,SD0294901,Coragyps atratus,Stomach contents,Male,Florida,52517176,0.086342038,47982736,47325463,657273,134.5927433,6367627409,90500662,0.986301886
EHI01193,SD0296701,Cathartes aura,Stomach contents,Female,Texas,23089612,0.030712772,22380466,3668994,18711472,147.1456798,0,3293188883,0.163937337
EHI01649,SD0295001,Cathartes aura,Stomach contents,Male,Florida,66982830,0.101784233,60165034,52313540,7851494,133.0072485,6926949868,1075435760,0.869500714
EHI01791,SD0297101,Coragyps atratus,Colon contents,Female,Texas,59704044,0.025556292,58178230,11846498,46331732,147.8581433,1497781791,7104343275,0.203624242
EHI01106,SD0297701,Cathartes aura,Colon contents,Male,Texas,32679262,0.042909292,31277018,7880338,23396680,139.3735144,976916173,3382271747,0.251952983
EHI01789,SD0297401,Coragyps atratus,Colon contents,Female,Texas,60190468,0.022491834,58836674,9932324,48904350,147.8714129,1220166360,7480095757,0.168811786
EHI01798,SD0297301,Coragyps atratus,Colon contents,Male,Texas,89482596,0.033153754,86515912,18465832,68050080,147.9184513,2282606968,10514692748,0.213438564
EHI01221,SD0295101,Cathartes aura,Stomach contents,Female,Florida,26990856,0.049438373,25656472,3832584,21823888,147.1004497,0,3774078569,0.149380788
EHI01647,SD0294701,Cathartes aura,Colon contents,Female,Florida,81158900,0.043495587,77628846,45650628,31978218,139.4371389,6193040094,4631304091,0.58806269
EHI01184,SD0296201,Cathartes aura,Colon contents,Male,Florida,18866984,0.039745303,18117110,9110483,9006627,147.4359192,1261113152,1409999614,0.502866241
EHI01820,SD0297301,Coragyps atratus,Stomach contents,Male,Texas,48859436,0.021673684,47800472,12463748,35336724,144.5250329,1671464046,5236900741,0.260745291
EHI01637,SD0296401,Coragyps atratus,Colon contents,Female,Florida,100555974,0.06320263,94200572,23680572,70520000,135.6260173,2955389714,9820658695,0.251384588
EHI01652,SD0296901,Coragyps atratus,Colon contents,Female,Texas,96488340,0.076592156,89098090,18024940,71073150,132.3152697,2193015283,9596022525,0.202304449
EHI01107,SD0296501,Coragyps atratus,Colon contents,Female,Texas,26242208,0.053485591,24838628,5487636,19350992,136.9945139,0,3402755769,0.220931526
EHI01101,SD0294501,Cathartes aura,Stomach contents,Male,Florida,54274084,0.091967098,49282654,19632526,29650128,133.0973183,2452268908,4107120177,0.398365843
EHI01143,SD0295101,Cathartes aura,Colon contents,Female,Florida,29762080,0.054853491,28129526,18204164,9925362,138.774053,2469945357,1433702974,0.647155021
EHI01641,SD0295001,Cathartes aura,Colon contents,Male,Florida,68244356,0.073658223,63217598,19549228,43668370,133.1621866,2415298413,6002895168,0.309237121
EHI01638,SD0297001,Coragyps atratus,Colon contents,Female,Texas,113009810,0.091136902,102710446,28397416,74313030,129.4830814,3405750402,9893514642,0.27648031
