EHI_plaintext	sample_code	species	region	sample_type	order	sex	country	latitude	longitude	singlem_fraction	reads_post_fastp	host_reads	reads_lost_fastp_percent	metagenomic_bases	host_bases	bases_lost_fastp_percent	diversity	C
EHI01370	AGZ77	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.67	19.14	35.88	56229270	33376924	0.02292542462721414	3131509599	5191510767	0.03582700019301943	17.1766559615173	0.856207057116816
EHI01131	AIF68	Coragyps atratus	Florida, Lake Butler	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	30.03	-82.35	0.0	20597382	16405826	0.08172303850280793	0	2779847909	0.17378810850788606	11.4507634254918	0.905209837883726
EHI01147	AIG37	Cathartes aura	Florida, 4.1 mi N of Brooker	Colon contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	21537840	17335962	0.059037635366467334	0	2935187528	0.1451012119476749	12.3531552022007	0.876007432511531
EHI02806	AGN66	Trichosurus vulpecula	Ringarooma, Tasmania	Faecal	Diprotodontia	Male	recKtBknH3LqSreF0	-41.26	147.7	73.37	40871000	619939	0.03604299647771603	5827831715	89581175	0.0695714813195113	19.9368098691561	0.719671558144185
EHI01403	AGZ70	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.67	19.14	3.36	43168088	7271762	0.04305405589698563	5232943156	1125368597	0.06033045469825182	18.0365338857959	0.882780074332931
EHI02812	AGN29	Trichosurus vulpecula	Pioneer, Tasmania	Faecal	Diprotodontia	Female	recKtBknH3LqSreF0	-41.1	147.97	73.99	34922904	408315	0.03377216681814599	4996979764	57112125	0.06777430754127178	18.1375720466122	0.879607165072362
EHI01562	AAW59	Psittacula echo	Grand Gorges	Faecal	Psittaciformes	Unknown	recxJddnYy3ExEL7a	-20.41	57.46	100.0	47900808	9100553	0.0229112234152703	5789571032	1376593641	0.025489079690641958	18.5547546980989	0.926620826958478
EHI01367	AGZ43	Perisoreus infaustus	Arvidsjaur	Faecal	Passeriformes	Unknown	recsoxFuQT1UqV2yf	65.66	19.2	71.05	40945744	20104536	0.036841003157561	2930985270	3152443343	0.04600439054835259	16.8149598361452	0.940853650340674
EHI01280	AGB78	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Female	recLVY3Rb8dPMd92q	70.3	-21.95	99.55	49306316	122919	0.02668100072012436	7318063842	18606552	0.03448195346354532	17.9834042807061	0.960876040665571
EHI01153	AIH24	Coragyps atratus	Florida, 4.1 mi N of Brooker	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.95	-82.32	0.0	27837612	22648004	0.05244673861563798	0	3906008176	0.11363307404318468	11.5938368725545	0.915676958615343
EHI01195	AIF64	Coragyps atratus	Florida, Lake Butler	Stomach contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	30.03	-82.35	57.09	18985248	3919901	0.02066597351597632	2202403704	603037979	0.03522829954481632	19.7025332621212	0.643106179792499
EHI01285	AGC29	Canis familiaris	Ittoqqortoormii	Faecal	Carnivora	Male	recLVY3Rb8dPMd92q	70.3	-21.95	100.0	37073948	6673135	0.017566749455744324	4493685257	1011389534	0.02746289273690361	17.8382302820336	0.948435594471554
EHI01148	AIH68	Coragyps atratus	Florida, 1.4 mi W of Hasan	Jejunum contents	Accipitriformes	Female	recTM9xQvYOxMLTyY	29.86	-82.46	0.0	32211404	26118028	0.06006196142307596	0	4367173880	0.15043072925527134	12.1307456277338	0.900253595120105
