Sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C
EHI01223,AIH64E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Stomach contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.5973000000000000,15034756,3164663,0.03640320748668210,1720283008,478323775,0.060589811989932200,18.7210205338488,0.72032207078051
EHI01140,AIG42E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0016,24469060,264552,0.025152043478534500,3519645399,41389705,0.05418848830983450,19.9704786375806,0.625646972343317
EHI01186,AIJ09E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Male,United States,27.34788,-98.23905,0.0,20325124,16873352,0.03237194776506660,0,2991858517,0.05043425422080040,12.5096266432857,0.876590516785032
EHI01139,AIG15E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.4459,25909478,17933980,0.06765090073718590,987536266,2485911979,0.1667228642322190,15.0533840336406,0.893317933443402
EHI01185,AIH53E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Stomach contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.7285000000000000,17444140,9348067,0.027669828665249600,1132903190,1433175170,0.046451354079480500,17.1813577945629,0.804691030694823
EHI01634,AIG04E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.1883,107119606,81393760,0.07205600020568690,3211049835,11552273575,0.14739931764795000,14.2310405417859,0.921997887487032
EHI01823,AII42E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.6918000000000000,92855116,52701124,0.0418337216900424,5638153872,8035743318,0.05933259290130470,15.4064682902426,0.953946158607441
EHI01795,AIH15E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.3883,34545064,23604604,0.029393817453773600,1429463564,3660199979,0.04664452169569360,15.5068786330274,0.911104171116037
EHI01656,AIJ20E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Stomach contents,Accipitriformes,Female,United States,27.34788,-98.23905,0.0043,59384838,46533076,0.08135195536049810,1446217319,6377779582,0.1931162121023580,13.1283688593934,0.869665188084429
EHI01655,AIG75E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.042300000000000000,92567944,7973483,0.06325903558690870,12031838452,1179840525,0.10869642544715500,20.3787514769461,0.778340252168111
EHI01657,AIH81E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.035700000000000000,47053692,36528790,0.05933000844077620,1298988186,5098951827,0.14730740958291800,12.138869977108,0.920800357287266
EHI01189,AIG31E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.0048,23308028,370630,0.020633234562008300,3400657762,59160815,0.03082567981619460,19.9222517974629,0.643096651503212
EHI01109,AIH70E1L1I1,Coragyps atratus,"Florida, 1.4 mi W of Hasan",Colon contents,Accipitriformes,Female,United States,29.85755,-82.4619,0.0,22946552,17274620,0.05793761862737600,0,3125795836,0.14447722721136400,12.8298004721874,0.878163737061778
EHI01642,AIG37E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Female,United States,29.94825,-82.32286,0.07340000000000000,81023240,64945300,0.06564465979962550,1842611337,9109374161,0.1580155573591510,12.9606388634827,0.934176789351051
EHI01121,AIH92E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,16011882,12399834,0.1340877115259980,0,2061206631,0.25687513357601300,10.9026025719846,0.905274427539627
EHI01187,AII31E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,17844736,14469059,0.03261708894589970,0,2631976641,0.04878419989066710,11.622338477846,0.903779527353127
EHI01639,AIG81E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Colon contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.014500000000000000,45272838,32987876,0.07445619992880690,1500218647,4395067940,0.19652398048756200,11.9028064194868,0.942609494311152
EHI01645,AII04E1L1I1,Cathartes aura,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.4224,74433158,50636604,0.07038822153041400,2933416746,6898453612,0.18138432433721000,15.5535136447094,0.935115130739995
EHI01650,AIF97E1L1I1,Coragyps atratus,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.0171,47982736,657273,0.08634203788870900,6367627409,90500662,0.18018845605864300,18.8758978383876,0.69756814071221
EHI01193,AIH97E1L1I1,Cathartes aura,"Texas, 7.8 mi N of Alice",Stomach contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0,22380466,18711472,0.030712772479676200,0,3293188883,0.04915714680119640,11.9153296190722,0.92112278365021
EHI01649,AIG09E1L1I1,Cathartes aura,"Florida, 4.1 mi N of Brooker",Stomach contents,Accipitriformes,Male,United States,29.94825,-82.32286,0.0012,60165034,7851494,0.1017842333624900,6926949868,1075435760,0.2035386154929560,19.5370552296782,0.693605104786498
EHI01791,AII48E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.1813,58178230,46331732,0.025556292300736000,1497781791,7104343275,0.039470417782755200,13.2640979288472,0.925377819623425
EHI01106,AIJ15E1L1I1,Cathartes aura,"Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company",Colon contents,Accipitriformes,Male,United States,27.34788,-98.23905,0.4501,31277018,23396680,0.0429092921376254,976916173,3382271747,0.11071269602110400,15.0241283806623,0.892772840680078
EHI01789,AII81E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Female,United States,27.86424,-98.05131,0.0421,58836674,48904350,0.022491833756800200,1220166360,7480095757,0.036363241989302000,12.3239274386519,0.933689184850049
EHI01798,AII70E1L1I1,Coragyps atratus,"Texas, 7.8 mi N of Alice",Colon contents,Accipitriformes,Male,United States,27.86424,-98.05131,0.1375,86515912,68050080,0.0331537542786533,2282606968,10514692748,0.04657067123980170,13.4122170547407,0.932907127672223
