	EHI01184	EHI01652	EHI01139	EHI01101	EHI01106	EHI01651	EHI01147	EHI01640	EHI01233	EHI01095	EHI01186	EHI01097	EHI01790	EHI01109	EHI01828	EHI01089	EHI01638	EHI01098	EHI01824	EHI01219	EHI01645	EHI01189	EHI01788	EHI01797	EHI01146	EHI01660	EHI01798	EHI01656	EHI01648	EHI01196	EHI01128	EHI01634	EHI01182	EHI01117	EHI01792	EHI01185	EHI01152	EHI01636	EHI01120	EHI01647	EHI01187	EHI01794	EHI01789	EHI01642	EHI01823	EHI01188	EHI01802	EHI01221	EHI01104	EHI01641	EHI01653	EHI01796	EHI01822	EHI01220	EHI01650	EHI01793	EHI01090	EHI01126	EHI01125	EHI01119	EHI01799	EHI01637	EHI01661	EHI01654	EHI01635	EHI01821	EHI01801	EHI01639	EHI01107	EHI01659	EHI01643	EHI01110	EHI01192	EHI01800	EHI01195	EHI01649	EHI01791	EHI01087	EHI01795	EHI01127	EHI01644	EHI01105	EHI01787	EHI01646	EHI01143	EHI01116	EHI01224	EHI01121	EHI01655	EHI01657	EHI01223	EHI01140	EHI01658	EHI01193	EHI01820
EHA02637_bin.61	538	1920	1148	834	967	12618	767	152282	543	302	1121	622	1696	494	359	611	2955	6	2474	1048	2830	18	888	707	184	841	2461	2192	1881	574	1130	2393	230	598	814	75	1147	997	702	1284	547	782	1926	2770	1675	502	925	875	1339	2971	2465	14063	2863	968	27	1396	161494	1437	553	954	1222	1918	2851	2849	53	3191	1316	1250	579	1925	813	793	635	954	132	396	1021	703	848	1228	2370	1087	2247	1681	5839	1204	456	379	585	1085	144	8	1355	825	1953
EHA02637_bin.63	4	0	0	614	0	0	44	29	123148	37773	0	44	0	2	14	142701	20	314	8	0	10	1246	0	0	40	0	27	0	17	57999	0	5956	0	559	0	2623	6	0	0	302986	10	0	1	179	24	0	34	0	8	2	248	7103	23176	56	902	1	53	149	0	0	0	0	0	2600	1582	56	2	38	0	5532	0	2478	0	20	3254	110	3	1650	21	4	0	6	0	10	0	2	0	0	74504	0	0	428	1108	0	7
EHA02637_bin.64	2076	77	1018	2565	267	3039	119	15484	364095	530	1062	46	120	6	29486	276719	814	1937	975	2234	14345	18	124793	23	0	24	1224	1367	1788	72	60	1097	1252	547	71	37490	1012	8	6	569202	139	374	255	349	2603	301	500	38	350	2661	1381	37416	3511286	224	4662	63	16279	748	19	580	90	23	3282	2358	8	670	1472	28	7	9841	59	4503	4	6623	7714	0	65	299	13549	180	550	1339	62	289	1375	5924	1609	22	1036	24	7	6	4772	937	607
EHA02637_bin.67	773	130	733	462	812	23589	2420	29199	88098	191	287	0	32	128	6783	150194	6266	1202	115	529	3703	241	110	107	62	1528	8046	34	46225	10820	68	69906	5715	8853	1925	14387	27395	2	0	309724	12	14	279	9235	237857	35	344	0	2831	1889	6562	131670	116734	30	3027	107	30958	3967	895	22	364	563	5825	40793	662	5562	6275	8	77	17790	78	8260	100	4213	3928	145	49525	19038	774	9616	1948	2178	28	13843	10351	1650	2206	18	384	149	1064	204	925	18	3972
EHA02637_bin.70	0	0	29	0	10	33530	8	379	2	6	0	0	1	3	11	331	6	18	0	1	85	6	0	0	0	0	10	0	115	25	2	45	177	9	384	77	70	0	0	732	0	0	0	22	35	0	20	0	2	138	52446	504	168	0	21	0	378	30416	2	0	19	9	165	38	1	6	262	0	0	572	0	244	0	33	42	0	3	12	46	2	33	82	0	9	15878	34	48	0	4	0	37	0	8	0	23
EHA02637_bin.73	106	22	96	87	86	1453	3862	1084	42032	172	111	2	7	84	3287	34281	507	239	12	94	461	101	393	1	9	35	467	20	10859	969	2	1610	5011	165	182	2490	6489	0	0	70467	13	2	59	15843	62111	37	13	0	271	210	259	4958	45843	12	479	44	1178	118	17	4	28	375	363	913	93	645	106	2	21	7856	5	3532	10	152	988	30	2063	423	209	2043	286	118	15	2902	606	220	377	2	294	24	316	33	159	12	689
EHA02637_bin.75	36	693	46	79	5279	7723	176	112	13	5	22	565	19	238	22	215	216	0	84	25	243295	0	48	17	3	3821	60	106	711	14427	482	147	8	12	60	5	403	134	70	517	12	25	26	562	42	17	127	63	82	104	7965	1857	63	17	0	25	98	4639	2746	47	21803	1117	39234	129	0	101	87	1039	157	123	54	60	13	2521	21	22	37	28	164	136	11729	15660	51	167	3579	105660	24	21	9	284	9	1	153	14	30
EHA02637_bin.78	393840	22	27396	101	2902	43350	29	27811	48	45	0	5	0	105	74	1958	284	11	1199	14	18122	7	83	25	1	44	402	19	72	892	7	3266	18	7	770	29	39	6	4	4381	11	2	18	121	70	0	448	0	98	68009	32407	19580	2664	9	52	6	29698	18845	38	9	189	328	3421	39	1	19	1048	8	24	159	8	93	8	16908	22	2	8	1047	6343	62	6201	1379	0	86	19309	7691	25	2	144	69	14	0	156	1	51
EHA02637_bin.7	1564	53	2186	212	15691	435366	496	698609	12734	717	0	2	69	2	66	518646	2478	18657	16	2113	3539	155	264	323	6	111	64462	6	18770	678	24	48390	276	1319	16371	18422	10902	0	0	1061874	29	0	1456	1856	5324	0	41431	331	1131	5201	179166	103291	37425	41	46404	14	753248	103593	62	1	20974	9	84743	6164	583	13340	14678	4	802	17754	159	8365	0	8286	2494	8	2174	13382	26737	8405	34307	34302	0	12114	196749	1660	812	94	1449	1601	0	149	496	0	3610
EHA02637_bin.80	313972	49137	59945	103889	55653	54073	48685	87677	20655	4025	28860	24290	7790	19909	50095	43340	100414	138	79313	40180	217100	691	50341	10536	10059	149349	26807	150647	28287	20277	28731	56349	3892	5057	59926	3717	15872	94676	68608	93148	3723	26924	10497	201888	14201	4855	12851	35087	43390	154677	136047	36291	126069	4575	310	9563	87722	69777	90924	59672	127558	86691	321541	28160	1996	29373	91179	44465	12721	36109	28726	16670	20448	73032	1495	23841	12444	15161	52835	51062	130726	118601	130425	75658	23735	90753	3796	12066	7429	26022	920	552	223651	33442	9977
EHA02637_bin.82	0	0	2	0	0	184531	0	15	3	0	0	0	0	0	0	95	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	234	0	0	0	0	2	0	0	2	0	4	6	5495	192	0	3	0	11	7	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	4150	0	0	0	0	1	83227	0	1	0	0	0	3	0	0	0	4
EHA03085_bin.10	66619	614	0	6	2947	37014	1771	21039	0	19	72	2349	3	2301	54	9231	1852	0	0	2	3613	2	0	42	0	4399	6527	0	232	93	387	183	6	279	8807	75	107	0	0	18786	22	0	33	6509	52	638	1948	0	960	0	47720	143009	10	1	1	0	21511	26894	2991	0	3665	9598	2297	1477	0	4	36944	4089	2600	8782	616	4127	0	19364	436	0	0	42	150	12927	6568	712	0	18416	16885	1622	3	262	18	5467	9	0	2	0	7
EHA03085_bin.13	32	3589	40	2	60535	93504	1739	225	16	0	2	3064	0	1394	26	1007	8	0	0	0	170480	0	0	0	0	5815	125	0	2987	3858	2309	21	9	50	20	4	1972	0	0	1851	2	0	2	7017	4	0	299	0	8	90	99377	53077	191	0	0	0	259	57559	3773	0	4940	5792	45727	183	0	0	370	5376	476	93	5	59	0	32380	23	2	2	3	954	212	136799	18349	0	302	41653	74232	0	15	1	869	0	0	4	0	0
EHA03085_bin.15	0	0	8	37	420	75648	0	560	66	108	0	0	6	0	8	25	3	5	0	4	0	1	0	2	2	0	0	0	0	0	0	8	42	0	0	92	0	0	0	32	0	0	2	0	13	0	0	0	0	12	710	235012	11607	4	12	0	660	426	0	0	1	2	0	3	4	2	4	0	0	11	0	4	0	1	58	8	0	0	2	0	950	0	0	2	35672	0	14	0	108	0	62	0	53	0	17
EHA03085_bin.16	0	0	2	32	166	22081	0	8099	235	70	38	0	5	2	136	51	0	15	0	42	6	0	0	0	10	0	2	0	0	0	0	40	476	0	2	14597	0	0	0	116	0	0	0	0	78	24	0	2	0	6	731	530402	21153	0	29	0	8909	365	0	0	653	3	2	2	27	15	0	0	0	684	0	306	2	0	614	19	0	7	24	2	428	4	1	2	10154	0	123	0	119	0	499	4	48	4	442
EHA03085_bin.25	966	335	2674	152	522	20506	3332	214412	27582	1467	1205	8	136	394	4024	67264	1239	2655	368	522	28545	228	99	23	113	16	2760	77	13060	290	219	7026	22866	9674	4505	22195	7695	28	23	136205	11	2	289	12861	9728	84	763	10	555	6742	6141	608654	360794	159	6575	170	230456	3432	13	18	1259	1623	29930	43469	1148	764	332	8	51	55054	0	25751	3	712989	9760	275	189	1983	11542	4530	1092	12127	43	6618	9314	12258	11055	0	2774	128	11368	283	293	46	4981
EHA03085_bin.26	3	2	438	16	123	5108	255	63270	23721	3773	2228	0	544	382	956	3225	41	2888	238	109	18284	515	6	6	30	2	62	8	11476	266	2	967	40465	178	1086	20597	6454	47	33	6570	16	0	8	754	9856	66	82	6	24	1204	965	227400	409471	213	6652	75	68335	623	0	6	178	1356	8376	682	1123	1106	34	9	0	6550	0	3067	4	670	16373	122	53	280	418	469	375	3342	40	773	2248	7866	30602	0	7759	0	15364	303	24	62	8418
EHA03085_bin.28	19	16	14	10	171	122	1719	3772	6005	51	15	4	4	14	389	16957	2757	450	6	15	1114	34	2	0	2	148	2924	0	7217	357	6	24096	4056	315	103	570	4138	0	0	35591	0	0	41	6687	26590	0	23	4	1184	32	188	40187	33162	6	1317	6	3857	152	82	2	16	65	62	1594	138	504	312	0	10	1154	6	550	4	2152	2063	4	7119	6618	40	4834	474	21	2	7161	50	440	332	0	80	8	81	27	10	0	596
EHA03085_bin.2	63	0	133	27	2	8325	7	2917	1698	333	10	0	4	0	321	330	2	350	4	50	9	10	67	0	0	0	4	6	59	2	0	68	814	4	20	1367	27	2	0	614	0	2	0	0	141	0	2	0	1	363	59	326793	33325	8	793	0	2979	38	0	0	10	5	15	14	43	57	2	3	0	17	0	7	2	31	756	6	0	17	737	33	6	2	0	81	3727	5	157	0	591	2	468	8	35	0	237
EHA03085_bin.3	249274	126	187782	287	17835	35652	1690	296552	86	15166	16	44	20	23946	50	41060	3306	10	223	84	1052667	903	3118	32	52	0	49946	14	2419	32625	87	104309	32	12	66643	14405	1428	0	0	83872	0	0	488	6259	419	2	19491	0	1445	464073	18893	409436	3917	64	18	26	305955	10911	0	4	44947	95446	433533	84	729	387	3284	83	5990	33914	553	16058	27	488167	5120	97	3546	29518	141480	91	39774	169309	185	182	15078	457656	963	231	29307	11549	296	198	577	0	376
EHA03085_bin.5	758	302	94	29	537	304	14	32104	0	26	106	254	14	168	297	13871	7000	0	0	6608	16551	15	2	6	0	28	1763	0	940	5	167	2044	21	445	108	118	557	0	0	29115	54	0	150	81	426	23	391	0	3233	220	20988	854423	122	12	2	17	35232	11910	15	2	17	631	208	2038	3	44	415	457	302	2798	143	1263	0	1595	1588	0	59	500	103	2042	1293	84	0	3050	145	7381	18	92	34	538	12	0	54	6	72
EHA03128_bin.11	203	0	18	152	0	203	99	65690	168	148	0	0	0	0	30	54	8	4	0	60	0	2	30	0	0	0	3	0	275	176	0	59	44	961	0	75	146	2	0	126	0	0	0	430	7	0	0	0	0	57	91	112937	537723	34	21	5	67302	54	0	2	0	2	37	4310	2	3	6	0	0	1153	0	510	2	86	37	0	0	20	124	48	2	8	2	87	107	0	0	0	363	0	38	0	333	0	3
EHA03128_bin.12	6	0	10	1755	115	377	12	79	3339	764	2817	0	97	6	9058	80	0	948	575	2747	30	161	65	0	1028	0	6	92	16	127	0	0	1054	0	0	396	4	18	13	216	2	14	0	46	327	51	0	179	0	10	210	2110	44886	22	2288	15	65	123	0	26	58	55	0	0	1822	174	0	0	0	6	0	2	272	6	1774	2545	0	0	0	2	197	0	30	0	163	24	923	0	1506	0	4831	530	3304	177	1937
EHA03128_bin.14	0	2	8	3	174	1258	6356	560	6739	302	191	0	18	128	61	5307	1285	56	0	12	1665	165	0	0	34	46	1228	2	37621	4693	4	649	19183	239	34	8941	21877	0	0	10666	0	0	107	23728	52660	9	18	2	542	5	4	9409	122841	4	130	12	619	0	32	0	43	561	0	1324	697	1108	125	2	10	19073	2	9000	5	2	543	63	3194	156	0	1920	413	2	0	3028	637	727	353	0	594	24	736	163	16	2	1516
EHA03128_bin.18	0	0	0	16	34	147	1377	10	3357	21	17	0	0	20	28	55316	165	10	0	0	650	0	0	0	0	0	103	2	4804	115	0	587	2755	61	0	1019	3019	0	0	111763	0	0	13	5037	589	4	0	4	89	0	49	23518	96219	0	20	0	11	28	0	0	0	100	0	304	10	61	0	0	0	4873	0	2408	0	0	91	3	28	191	4003	62	95	2	0	83	57	297	24	0	47	0	218	9	16	0	259
EHA03128_bin.27	10	0	24	2	2	5	38	102	233	457	252	0	2	15	65	671	7	86	0	0	23	46	2	0	0	0	34	0	394	20	0	548	109	123	26	604	239	0	0	1441	0	0	0	219	134	0	8	0	0	50	395	1390	191656	2	202	0	71	238	0	0	0	50	66	588	246	40	7	0	0	234	0	115	0	29	97	0	35	142	49	419	2	23	6	687	0	5	67	0	885	0	279	78	4	8	67
EHA03128_bin.28	11	0	15	37	4	118	424	208	22178	10	1	0	2	0	218	237521	6	154	4	93	349	0	29317	1	0	0	13	37	28	14	0	59229	134	2962	4	1089	13	0	0	491442	1	1	0	1465	14	2	0	0	0	16	102	119952	194962	12	316	0	176	43	2	10	2	0	70	13716	2	27	18	0	0	923	1	385	0	59	505	0	2	16462	3736	12132	17	32	2	17261	42	155	14	0	13	0	2	0	92	29	19
EHA03128_bin.2	15	0	109	255	43	42	113	126	28737	4230	764	0	163	25	3161	123	0	43	86	78	155	184	55	0	91	223	0	276	10	48	0	0	17767	0	23	12924	4	194	85	219	0	23	0	358	1765	168	0	69	4	264	311	3	160632	100	139	0	95	155	130	103	76	108	252	0	1851	669	61	0	0	8	0	2	51	24	5133	248	0	0	15	0	139	99	117	2	24	58	532	0	8580	0	33892	462	521	189	10535
EHA03128_bin.34	2	203	71951	13	3935	148	3860	48091	9745	23	38	96	4	841	53	242502	1753	19	29	6	38013	10	1519	22	12	4	3304	2	54466	100	115	78771	248	7666	115048	824	32814	0	0	492097	6	0	706	14827	769	6	6332	0	777	173479	68156	281035	65386	17	78	7	51780	39554	0	0	20977	3704	66295	35439	140	12	567	191	18	116093	6	54965	2	50754	125	9	217	22138	42541	544	8940	26365	0	810	86	16639	41	0	49	54	21	36	17	2	729
EHA03128_bin.35	24	18	27	28	260	314	3393	5185	10884	59	64	0	8	17	618	26132	4576	1081	4	28	1796	110	2	0	3	265	4334	6	13562	782	0	51604	8015	696	113	1654	7694	0	0	55226	0	0	46	13786	43626	4	38	0	2074	60	332	56638	95769	0	2630	6	5411	210	113	0	27	69	86	3168	188	891	281	2	8	2875	4	1251	5	1275	3873	6	11833	14396	44	8537	565	56	6	12022	109	678	466	0	114	22	173	55	36	4	930
EHA03128_bin.7	3	4	486	79	119	670	266	2310	6267	1557	1200	3	35	438	968	1869	77	352	7	37	439	79	7	0	97	2	89	2	971	780	4	844	3592	50	993	11889	566	8	6	3529	0	0	5	962	798	2	64	2	22	1309	1186	3293	354132	28	960	1	2363	701	0	0	278	1861	660	199	390	442	107	2	1	973	2	385	12	434	40132	227	42	250	317	8106	267	290	8	11906	295	200	793	0	3131	1	3999	87	192	53	1585
EHA03128_bin.9	0	12	7523	0	425	488	427	12069	5431	3415	468	6	39	127	52	27927	168	187	24	8	5276	62	0	2	2	0	347	4	6384	38	14	8804	6730	811	12284	2836	3809	8	2	56945	0	0	77	1589	1117	4	733	0	84	18583	7593	38251	115613	0	409	2	12943	4341	0	0	2112	530	8218	3784	139	96	57	15	1	12386	0	5871	0	5444	3286	7	33	2629	4519	75	852	3296	10	91	204	2296	3393	0	6521	14	2345	41	0	39	857
EHA03130_bin.11	0	0	8	3	4	90	0	23	49	1	0	0	0	0	385691	5	5	2	0	0	17	0	9	0	0	8	0	0	6	11	0	27	10	0	5	14	2	0	0	8	0	0	0	2	1	0	0	0	2	0	28	15	85	2	0	0	68	10	4	0	0	0	20	2	0	0	0	0	0	0	0	0	0	98	32	0	0	2	7	0	3	21	0	0	36	16	3	0	2	0	10	0	4	2	0
EHA03130_bin.12	68	188	122	134	96	143	54	524	110	16	100	13	19	35	2549869	197	223	352	255	481	251	0	11606	21	12	151	105	400	197	54	93	3223	41	25	119	26	98	150	103	279	26	100	59	273	81	13	58	92	83	238	273	159	640	33	740	45	476	136	97	221	158	164	283	153	2	177	197	49	20	106	31	50	63	810	27	19	74	880	320	111	201	104	246	213	34	100	27	20	45	77	22	2	292	42	42
EHA03130_bin.13	0	0	0	59	0	44	153	480	15	45	0	0	0	0	1624120	9	14	667	0	74	1262	9	146	0	6	0	9	12	50	2	0	10158	10	29	0	39	32	0	0	31	0	2	0	526	34	0	0	0	4	2	31	21	2900	16	1479	0	494	16	0	2	0	0	10	87	2	1	38	0	0	6	2	19	0	2048	13	8	2	2883	16	6	0	2	0	25	18	554	0	6	93	0	0	0	116	8	1
EHA03130_bin.14	2	1	10	93	1	31	17	84	178	13	2	2	0	0	750227	121	12	88	2	8	67	1	482	0	0	0	4	12	202	5	0	1572	27	20	2	27	82	0	0	249	0	0	0	52	25	0	0	0	2	18	223	35	2376	0	263	0	152	104	0	5	2	4	14	63	2	3	43	0	0	35	0	28	0	7520	70	0	4	420	34	39	2	3	0	37	10	40	5	0	31	1	3	0	189	2	6
EHA03130_bin.2	0	0	0	9	0	31	0	135	62	163	0	0	0	0	151047	15	3	8	0	14	0	17	315	0	2	0	0	5	2	3	0	8	29	2	0	58	6	0	0	26	0	0	0	0	16	0	0	0	0	13	4	475	1105	5	67	1	115	0	0	0	0	4	4	3	9	8	1	0	0	20	2	9	0	14	134	3	0	4	20	0	0	0	0	4	17	0	6	0	303	0	74	0	7	0	21
EHA03130_bin.3	0	0	0	2	0	0	2	11	0	0	0	0	0	0	174797	0	0	16	0	0	2	0	27	0	0	2	0	2	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	16	0	36	0	10	0	2	0	0	0	0	4	0	2	13	0	0	0	0	0	0	662	0	0	0	310	0	0	0	0	0	2	0	2	0	0	0	0	0	0	8	0	0
EHA03130_bin.4	0	0	0	0	2	10	0	12	3	14	17	0	2	0	1005305	0	0	70	0	387	0	0	75	2	2	0	0	85	0	0	0	4	814	0	0	6	0	0	0	0	0	0	0	4	5	2	0	0	0	2	2	9	1280	11	196	0	8	10	0	20	0	0	0	2	0	6	0	0	0	0	0	0	0	32	41	0	0	0	0	0	2	0	0	0	7	0	31	0	31	0	58	0	0	0	22
EHA03130_bin.5	0	0	14	34	244	2195	0	146	369	51	15	0	5	0	505883	21	0	26	3	45	5	0	84	0	0	0	0	438	5	2	0	28	330	0	14	358	3	0	0	74	0	0	0	4	34	2	1	0	0	20	66	1140	1585	10	100	2	174	44	0	234	28	1	15	4	5	8	7	0	0	14	0	8	0	15	254	9	0	15	21	0	493	3	0	0	920	1	34	0	132	0	652	4	73	0	110
EHA03130_bin.6	0	0	0	6	0	22	10	11062	46	5	8	0	0	0	985625	4	1	47	0	92	11	0	63	0	0	2	0	228	44	0	0	61	16	1	0	5	36	0	0	22	0	6	0	14	21	0	0	0	1	4	12	3	267	2	101	1	12006	0	2	86	0	0	3	19	0	0	16	0	0	9	0	1	0	527	9	6	2	29	2	11	0	0	0	24	18	9	0	0	15	0	0	0	8	2	0
EHA03130_bin.7	424	1	61	31	67	608	126	6561	2584	4	1127	0	30	0	79856	489	224	124	130	26942	3156	1208	30	0	6	4	6	160	36	158	0	758	26	1	160	5873	16	5	2	979	5003	4	0	455	320	0	3	586	92	153	285	993	38195	12	235	9	6969	135	4	79	9	17	190	2	5	621	57	0	0	135	2	66	271	293	31	14	23	199	218	10	189	39	1597	8	277	1281	22654	2	8	2	2	10	85	9856	33
EHA03130_bin.9	0	0	0	304	8	4	4	101	7760	21	36	0	8	0	415680	9079	14	201	16	91	154	0	156	0	0	0	99	51	48	0	0	152	11	9	0	97	33	6	0	18179	6	29	0	4	190	2	2	2	5	4	8	476	54866	2	427	0	162	0	0	12	4	6	64	47	0	51	68	0	0	56	1	42	0	2468	1930	0	0	50	9	39	20	25	0	55	0	62	178	2	28	0	6	0	529	11	77
EHA03138_bin.10	152	15	167	59985	163	2929	140	2709	216	496	56	9	9	159	1848399	392	563	245906	21	1863	623	185817	9347	13	289233	133	156	24667	561	10689	16	1245	507	43	506	3197	329	0	0	854	39	16	32	613	25404	153	29	4	236	372	840	911	8172	844	612576	12	2880	467	49	10595	11	766	1649	286	877901	1116	303	6	84	1732	23	758	0	1546	28373	658073	989	304	1067	124	318	546	42	205	1314	235	135	9	1008	104	60	240706	111608	42	85
EHA03138_bin.11	2	0	4	2587	0	2	0	0	569	2	2804	0	2	0	4448	4	0	0	3123	278	0	92	64	0	454	0	0	4494	0	2	0	0	0	0	0	11	0	4	6	4	0	274	0	4	137	0	0	133	0	0	294	0	34532	0	2	0	2	174	0	1828	20	6	2	0	190	44	0	0	0	0	0	0	869	0	48	1082	0	0	0	0	0	2	191	0	4	0	18	0	4	0	63	31	4913	66	40
EHA03138_bin.14	442	0	16	20	42	1005	199	7678	5199	25	1935	0	57	6	79538	595	302	145	206	44702	5393	2424	26	0	8	5	17	294	40	290	0	1159	25	2	169	9346	22	27	14	1172	9156	4	4	803	118	0	5	1045	130	58	216	1893	75430	32	332	2	8154	93	11	132	28	33	336	8	7	925	37	2	4	164	6	81	451	109	17	41	7	328	246	22	107	79	2793	19	486	2224	41286	2	30	4	8	4	29	19787	41
EHA03138_bin.16	0	0	782	31	61	126	246	3701	123851	1864	545	12	187	142	1023	3622	54	297	55	1262	882	320	2	0	139	0	56	9	2157	174	4	967	90773	56	1119	41118	1352	2	0	7732	0	0	4	1007	6401	115	73	28	19	1802	1261	4432	743754	138	613	55	3984	790	0	0	178	460	1016	364	445	682	31	4	0	1391	0	711	6	491	32880	316	11	231	406	1696	117	423	12	2419	64	292	3191	2	3669	0	14003	142	67	30	5705
EHA03138_bin.17	6	5	6	37	84	278	2519	1441	43931	344	52	2	6	79	88	16617	1431	170	4	19	158	65	0	0	16	28	1451	0	21176	779	2	1612	4868	226	25	8641	12554	0	2	33914	0	4	20	9441	6578	4	4	0	672	12	41	1807	150014	4	483	21	1519	30	16	2	17	325	7	771	96	453	108	14	2	3886	0	1829	0	59	2187	27	466	364	5	2077	242	2	4	3103	129	97	191	0	649	0	524	38	46	0	1396
EHA03138_bin.20	38	0	26	7732	0	147	12	38	10325	99	5443	0	41	10	46689	282	0	144	2213	14035	106	535	213	0	4868	0	0	306	2	576	0	0	59	0	0	145	0	48	33	600	0	16	0	26	164	65	0	763	0	56	727	2	56108	3	313	5	30	376	0	134	163	18	4	0	9200	99	0	0	0	0	0	0	1223	0	1486	11639	0	0	2	0	8	0	140	0	92	46	1029	0	174	0	1457	2566	14448	711	1189
EHA03138_bin.21	128	6	64	13714	122	383	26	7194	92556	872	918	10	129	15	101186	111604	153	2132	1455	4406	15765	8	1955	0	2	38	999	1578	444	35	12	285	337	1148	124	11125	291	6	12	230005	226	831	1	59	18182	161	17	8	84	160	240	73879	12660367	1291	5058	73	7551	138	9	673	140	123	6770	5341	0	2383	1703	12	2	6795	255	3051	12	21291	58524	0	82	77	1024	1274	299	2503	74	1823	210	6728	8539	113	1636	4	30	0	25793	1867	1350
EHA03138_bin.22	5	0	13	182	2	43	26	1507	32440	42	49	2	16	299	1154	5318	10	612	265	1083	3409	20	13018	0	0	4	85	365	1552	463	0	391	3119	177	3	22869	887	6	0	11445	37	14	0	76	704	234	1	7	14	6	95	1429	980535	15	1424	9	1483	51	2	145	22	1115	1749	990	6	181	142	0	0	5072	0	2353	0	185	2292	0	13	124	342	972	15	678	10	1338	26	1373	158	2	145	4	109	2	294	630	121
EHA03138_bin.25	79	10	134	6	22	126	54	821	84234	649	65	4	32	147	9727	13273	329	615	28	58	385	26	88	6	19	0	591	0	3130	127	10	2001	28921	157	523	54176	2015	2	6	27615	0	0	16	235	21412	10	70	0	178	351	1436	52342	1325268	18	1633	146	874	802	0	4	43	563	240	649	102	573	23	13	0	2321	2	1053	0	252	20501	36	70	577	302	11336	58	93	2	17181	76	216	1310	0	1302	0	1469	21	6	2	3849
EHA03138_bin.27	0	0	0	0	0	2	22	117	0	2	0	0	0	0	151766	1	2	14	0	2	22	0	233	0	0	0	0	22	11	2	0	967	16	25	2	13	7	0	0	8	0	6	0	60	0	0	0	0	0	0	4	115	2566	0	52	0	128	4	0	14	0	0	12	81	0	0	655	0	0	8	0	2	0	832	2	2	0	212	4	1	0	1	0	2	0	24	0	0	5	0	0	0	0	2	0
EHA03138_bin.28	0	0	0	6	10	1	10	89	3	2	23	0	0	0	611880	20	8	40	0	82	214	0	612	0	0	0	20	559	114	0	2	5443	227	4	0	10	86	0	0	11	0	9	2	33	8	0	0	0	6	2	14	12	744	0	105	0	147	2	0	249	0	0	0	22	0	6	294	0	0	21	2	9	0	623	1	0	6	1389	10	2	4	2	2	0	2	68	4	0	6	4	0	0	9	2	16
EHA03138_bin.29	374	13	150	90	311	1088	84	9097	4199	141	757	5	8	451	13858	958	1157	31	68	12895	14460	1012	1147	1	10	87	266	117	426	314	6	533	283	16	1170	502	257	2	4	1961	238	0	59	469	67870	425	64	69	572	390	639	2614	54902	6	64	13	9542	288	67	55	11	1833	2311	99	16	2750	178	27	96	96	19	53	53	706	214	14	2536	156	1270	59	696	878	3684	98	388	6201	954	6	287	235	66	0	253	15764	150
EHA03138_bin.31	4	0	0	81	4	7	102	33	46280	2254	666	0	131	23	8965	342	25	737	44	143	143	150	18	0	108	0	19	0	2852	187	0	34	26267	0	12	9838	1527	16	16	860	0	0	0	419	2116	71	0	28	8	2	29	858	149322	16	2023	15	19	17	0	0	20	104	2	9	476	664	0	2	0	112	2	52	6	0	14872	257	2	2	0	229	16	2	14	346	1	68	1443	0	4120	0	27118	104	158	4	8407
EHA03138_bin.32	313	5	224	1084	28	2740	25	3064	875	95	1	2	2	2	692	4083	406	86	172	28	457	54	553	26	488	56	264	8	54	1840	4	491	69	355	161	5299	33	0	0	8834	0	0	22	142	105	1	140	2	152	566	2887	303265	553615	205	200	6	3260	1670	48	0	255	2	661	1663	16	51	152	4	2	490	0	212	0	440	204	1054	37	143	673	155	68	195	4	225	1285	224	33	2	225	6	0	14	1938	4	34
EHA03138_bin.33	604	8	249	1178	32	1784	56	3422	788	112	2	6	4	0	905	5871	400	73	43	17	779	82	184	16	527	41	322	2	106	1629	0	723	18	408	155	7717	68	0	0	11842	2	3	15	213	61	1	134	2	189	564	3087	487228	831214	404	182	8	3754	1719	34	0	125	0	524	2164	45	41	186	4	2	584	4	277	0	888	313	1100	55	220	992	285	72	199	2	405	753	326	30	0	195	3	0	0	2224	26	9
EHA03138_bin.36	12971	12	1114	74	439	9119	7	2304	110	519	24	24	24	0	207	901	43	117	48	273	27123	4	42870	357	0	104	120	8	151	49	4	210	135	897	211	571	81	0	0	1843	291	99	9	29	309	62	47	4	30	2768	877	126700	2722022	2281	288	48	2400	602	68	12	22	4	443	3989	2	159	9836	36	55	8650	80	3929	14	272	102	0	23	63	14852	94	963	198	8	98	3966	11798	424	13	1034	100	1	2	106	363	141
EHA03138_bin.37	3	1	2	54	6	47	2	245	349	37	1	0	0	0	416	307	1	8	11	167	1399	0	1002144	0	0	2	2	18	17	10	0	14	866	0	3	55	5	0	0	497	2	0	0	6	21	0	1	0	4	9	43	63	5338	7	12	0	238	19	0	15	5	0	274	8	0	13	26	2	0	53	4	18	0	42	68	0	0	15	9594	6	10	72	2	5	25	560	17	2	55	0	1	0	92	55	16
