"","Sample","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","state"
"22","EHI01642","AIG37E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.0734,81023240,64945300,0.0656446597996255,1842611337,9109374161,0.158015557359151,12.9606388634827,0.934176789351051,"Florida"
"23","EHI01645","AII04E1L1I1","Cathartes aura","Texas, 7.8 mi N of Alice","Colon contents","Accipitriformes","Female","United States",27.86424,-98.05131,0.4224,74433158,50636604,0.070388221530414,2933416746,6898453612,0.18138432433721,15.5535136447094,0.935115130739995,"Texas"
"24","EHI01193","AIH97E1L1I1","Cathartes aura","Texas, 7.8 mi N of Alice","Stomach contents","Accipitriformes","Female","United States",27.86424,-98.05131,0,22380466,18711472,0.0307127724796762,0,3293188883,0.0491571468011964,11.9153296190722,0.92112278365021,"Texas"
"25","EHI01649","AIG09E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Male","United States",29.94825,-82.32286,0.0012,60165034,7851494,0.10178423336249,6926949868,1075435760,0.203538615492956,19.5370552296782,0.693605104786498,"Florida"
"26","EHI01106","AIJ15E1L1I1","Cathartes aura","Texas, 3.3 mi SE of Cruz Calle, Howell Cattle Company","Colon contents","Accipitriformes","Male","United States",27.34788,-98.23905,0.4501,31277018,23396680,0.0429092921376254,976916173,3382271747,0.110712696021104,15.0241283806623,0.892772840680078,"Texas"
"27","EHI01221","AIG20E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Stomach contents","Accipitriformes","Female","United States",29.94825,-82.32286,0,25656472,21823888,0.0494383727585372,0,3774078569,0.0678130477472321,11.8595591347963,0.934020390512672,"Florida"
"28","EHI01647","AIF81E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.5809,77628846,31978218,0.043495587052067,6193040094,4631304091,0.110851741870988,15.5466762232938,0.972696500349018,"Florida"
"29","EHI01184","AIH48E1L1I1","Cathartes aura","Florida, 1.4 mi W of Hasan","Colon contents","Accipitriformes","Male","United States",29.85755,-82.4619,0.7522,18117110,9006627,0.0397453032238752,1261113152,1409999614,0.0561597741324209,16.728428645493,0.91580599805231,"Florida"
"30","EHI01101","AIF53E1L1I1","Cathartes aura","Florida, Lake Butler","Stomach contents","Accipitriformes","Male","United States",30.02768,-82.34884,0.0601,49282654,29650128,0.0919670979615244,2452268908,4107120177,0.19428837220603,17.6531299026636,0.642372462692513,"Florida"
"31","EHI01143","AIG26E1L1I1","Cathartes aura","Florida, 4.1 mi N of Brooker","Colon contents","Accipitriformes","Female","United States",29.94825,-82.32286,0.8642,28129526,9925362,0.0548534914226425,2469945357,1433702974,0.125587922394313,16.9148323977137,0.928047790385059,"Florida"
